country_code,year,free_education_years,inbound_mobility_rate,outbound_mobility_rate,region
SEN,2019,11.0,7.596549987792969,7.73429012298584,Africa
SEN,2020,11.0,7.046450138092041,7.636750221252441,Africa
SEN,2021,11.0,6.282599925994873,7.258969783782959,Africa
SEN,2022,10.0,6.015820026397705,6.92087984085083,Africa
SLE,2013,9.0,,,Africa
SLE,2014,9.0,,,Africa
SLE,2015,9.0,,,Africa
SLE,2016,9.0,,,Africa
SLE,2017,9.0,,,Africa
SLE,2018,9.0,,,Africa
SLE,2019,9.0,,,Africa
SLE,2020,9.0,,,Africa
SLE,2021,9.0,,,Africa
SLE,2022,9.0,,,Africa
SSD,2013,8.0,,,Africa
SSD,2014,8.0,,,Africa
SSD,2015,8.0,,,Africa
SSD,2016,8.0,,,Africa
SSD,2017,8.0,,,Africa
SSD,2018,8.0,,,Africa
SSD,2019,8.0,,,Africa
SSD,2020,8.0,,,Africa
SSD,2021,8.0,,,Africa
SSD,2022,8.0,,,Africa
STP,2013,6.0,,,Africa
STP,2014,6.0,,39.55266952514648,Africa
STP,2015,6.0,,27.47175025939941,Africa
STP,2016,6.0,,,Africa
STP,2017,6.0,,,Africa
STP,2018,6.0,,,Africa
STP,2019,6.0,,,Africa
STP,2020,6.0,,,Africa
STP,2021,6.0,,,Africa
STP,2022,6.0,,,Africa
SWZ,2013,7.0,0.508870005607605,34.9381103515625,Africa
SWZ,2014,7.0,,,Africa
SWZ,2015,7.0,,,Africa
SWZ,2016,7.0,,,Africa
SWZ,2017,7.0,,,Africa
SWZ,2018,7.0,,,Africa
SWZ,2019,7.0,,,Africa
SWZ,2020,7.0,,,Africa
SWZ,2021,7.0,,,Africa
SWZ,2022,7.0,,,Africa
SYC,2013,10.0,0.0,198.5906982421875,Africa
SYC,2014,10.0,0.0,93.42748260498048,Africa
SYC,2015,10.0,0.0,40.18973159790039,Africa
SYC,2016,11.0,0.0,41.27001190185547,Africa
SYC,2017,11.0,0.0,36.97549057006836,Africa
SYC,2018,11.0,0.0,49.25873184204102,Africa
SYC,2019,11.0,0.0,49.71646881103516,Africa
SYC,2020,11.0,0.0,68.6845932006836,Africa
SYC,2021,11.0,0.0,54.53020858764648,Africa
SYC,2022,11.0,0.0,54.53054809570313,Africa
TCD,2013,10.0,,,Africa
TCD,2014,10.0,,14.85657978057861,Africa
TCD,2015,10.0,,15.11544990539551,Africa
TCD,2016,10.0,,,Africa
TCD,2017,10.0,,,Africa
TCD,2018,10.0,,,Africa
TCD,2019,10.0,,,Africa
TCD,2020,10.0,0.0,29.36829948425293,Africa
TCD,2021,10.0,,,Africa
TCD,2022,10.0,,,Africa
TGO,2013,5.0,,7.009300231933594,Africa
TGO,2014,5.0,,7.804870128631592,Africa
TGO,2015,5.0,,8.660440444946289,Africa
